,Pair,Steps,GCD
0,"[1, 1]",1,1
1,"[1, 2]",1,1
2,"[1, 3]",1,1
3,"[1, 4]",1,1
4,"[1, 5]",1,1
5,"[1, 6]",1,1
6,"[1, 7]",1,1
7,"[1, 8]",1,1
8,"[1, 9]",1,1
9,"[1, 10]",1,1
10,"[1, 11]",1,1
11,"[1, 12]",1,1
12,"[1, 13]",1,1
13,"[1, 14]",1,1
14,"[1, 15]",1,1
15,"[1, 16]",1,1
16,"[1, 17]",1,1
17,"[1, 18]",1,1
18,"[1, 19]",1,1
19,"[1, 20]",1,1
20,"[1, 21]",1,1
21,"[1, 22]",1,1
22,"[1, 23]",1,1
23,"[1, 24]",1,1
24,"[1, 25]",1,1
25,"[1, 26]",1,1
26,"[1, 27]",1,1
27,"[1, 28]",1,1
28,"[1, 29]",1,1
29,"[1, 30]",1,1
30,"[1, 31]",1,1
31,"[1, 32]",1,1
32,"[1, 33]",1,1
33,"[1, 34]",1,1
34,"[1, 35]",1,1
35,"[1, 36]",1,1
36,"[1, 37]",1,1
37,"[1, 38]",1,1
38,"[1, 39]",1,1
39,"[1, 40]",1,1
40,"[1, 41]",1,1
41,"[1, 42]",1,1
42,"[1, 43]",1,1
43,"[1, 44]",1,1
44,"[1, 45]",1,1
45,"[1, 46]",1,1
46,"[1, 47]",1,1
47,"[1, 48]",1,1
48,"[1, 49]",1,1
49,"[1, 50]",1,1
50,"[1, 51]",1,1
51,"[1, 52]",1,1
52,"[1, 53]",1,1
53,"[1, 54]",1,1
54,"[1, 55]",1,1
55,"[1, 56]",1,1
56,"[1, 57]",1,1
57,"[1, 58]",1,1
58,"[1, 59]",1,1
59,"[1, 60]",1,1
60,"[1, 61]",1,1
61,"[1, 62]",1,1
62,"[1, 63]",1,1
63,"[1, 64]",1,1
64,"[1, 65]",1,1
65,"[1, 66]",1,1
66,"[1, 67]",1,1
67,"[1, 68]",1,1
68,"[1, 69]",1,1
69,"[1, 70]",1,1
70,"[1, 71]",1,1
71,"[1, 72]",1,1
72,"[1, 73]",1,1
73,"[1, 74]",1,1
74,"[1, 75]",1,1
75,"[1, 76]",1,1
76,"[1, 77]",1,1
77,"[1, 78]",1,1
78,"[1, 79]",1,1
79,"[1, 80]",1,1
80,"[1, 81]",1,1
81,"[1, 82]",1,1
82,"[1, 83]",1,1
83,"[1, 84]",1,1
84,"[1, 85]",1,1
85,"[1, 86]",1,1
86,"[1, 87]",1,1
87,"[1, 88]",1,1
88,"[1, 89]",1,1
89,"[1, 90]",1,1
90,"[1, 91]",1,1
91,"[1, 92]",1,1
92,"[1, 93]",1,1
93,"[1, 94]",1,1
94,"[1, 95]",1,1
95,"[1, 96]",1,1
96,"[1, 97]",1,1
97,"[1, 98]",1,1
98,"[1, 99]",1,1
99,"[1, 100]",1,1
100,"[2, 1]",1,1
101,"[2, 2]",1,2
102,"[2, 3]",2,1
103,"[2, 4]",1,2
104,"[2, 5]",2,1
105,"[2, 6]",1,2
106,"[2, 7]",2,1
107,"[2, 8]",1,2
108,"[2, 9]",2,1
109,"[2, 10]",1,2
110,"[2, 11]",2,1
111,"[2, 12]",1,2
112,"[2, 13]",2,1
113,"[2, 14]",1,2
114,"[2, 15]",2,1
115,"[2, 16]",1,2
116,"[2, 17]",2,1
117,"[2, 18]",1,2
118,"[2, 19]",2,1
119,"[2, 20]",1,2
120,"[2, 21]",2,1
121,"[2, 22]",1,2
122,"[2, 23]",2,1
123,"[2, 24]",1,2
124,"[2, 25]",2,1
125,"[2, 26]",1,2
126,"[2, 27]",2,1
127,"[2, 28]",1,2
128,"[2, 29]",2,1
129,"[2, 30]",1,2
130,"[2, 31]",2,1
131,"[2, 32]",1,2
132,"[2, 33]",2,1
133,"[2, 34]",1,2
134,"[2, 35]",2,1
135,"[2, 36]",1,2
136,"[2, 37]",2,1
137,"[2, 38]",1,2
138,"[2, 39]",2,1
139,"[2, 40]",1,2
140,"[2, 41]",2,1
141,"[2, 42]",1,2
142,"[2, 43]",2,1
143,"[2, 44]",1,2
144,"[2, 45]",2,1
145,"[2, 46]",1,2
146,"[2, 47]",2,1
147,"[2, 48]",1,2
148,"[2, 49]",2,1
149,"[2, 50]",1,2
150,"[2, 51]",2,1
151,"[2, 52]",1,2
152,"[2, 53]",2,1
153,"[2, 54]",1,2
154,"[2, 55]",2,1
155,"[2, 56]",1,2
156,"[2, 57]",2,1
157,"[2, 58]",1,2
158,"[2, 59]",2,1
159,"[2, 60]",1,2
160,"[2, 61]",2,1
161,"[2, 62]",1,2
162,"[2, 63]",2,1
163,"[2, 64]",1,2
164,"[2, 65]",2,1
165,"[2, 66]",1,2
166,"[2, 67]",2,1
167,"[2, 68]",1,2
168,"[2, 69]",2,1
169,"[2, 70]",1,2
170,"[2, 71]",2,1
171,"[2, 72]",1,2
172,"[2, 73]",2,1
173,"[2, 74]",1,2
174,"[2, 75]",2,1
175,"[2, 76]",1,2
176,"[2, 77]",2,1
177,"[2, 78]",1,2
178,"[2, 79]",2,1
179,"[2, 80]",1,2
180,"[2, 81]",2,1
181,"[2, 82]",1,2
182,"[2, 83]",2,1
183,"[2, 84]",1,2
184,"[2, 85]",2,1
185,"[2, 86]",1,2
186,"[2, 87]",2,1
187,"[2, 88]",1,2
188,"[2, 89]",2,1
189,"[2, 90]",1,2
190,"[2, 91]",2,1
191,"[2, 92]",1,2
192,"[2, 93]",2,1
193,"[2, 94]",1,2
194,"[2, 95]",2,1
195,"[2, 96]",1,2
196,"[2, 97]",2,1
197,"[2, 98]",1,2
198,"[2, 99]",2,1
199,"[2, 100]",1,2
200,"[3, 1]",1,1
201,"[3, 2]",2,1
202,"[3, 3]",1,3
203,"[3, 4]",2,1
204,"[3, 5]",3,1
205,"[3, 6]",1,3
206,"[3, 7]",2,1
207,"[3, 8]",3,1
208,"[3, 9]",1,3
209,"[3, 10]",2,1
210,"[3, 11]",3,1
211,"[3, 12]",1,3
212,"[3, 13]",2,1
213,"[3, 14]",3,1
214,"[3, 15]",1,3
215,"[3, 16]",2,1
216,"[3, 17]",3,1
217,"[3, 18]",1,3
218,"[3, 19]",2,1
219,"[3, 20]",3,1
220,"[3, 21]",1,3
221,"[3, 22]",2,1
222,"[3, 23]",3,1
223,"[3, 24]",1,3
224,"[3, 25]",2,1
225,"[3, 26]",3,1
226,"[3, 27]",1,3
227,"[3, 28]",2,1
228,"[3, 29]",3,1
229,"[3, 30]",1,3
230,"[3, 31]",2,1
231,"[3, 32]",3,1
232,"[3, 33]",1,3
233,"[3, 34]",2,1
234,"[3, 35]",3,1
235,"[3, 36]",1,3
236,"[3, 37]",2,1
237,"[3, 38]",3,1
238,"[3, 39]",1,3
239,"[3, 40]",2,1
240,"[3, 41]",3,1
241,"[3, 42]",1,3
242,"[3, 43]",2,1
243,"[3, 44]",3,1
244,"[3, 45]",1,3
245,"[3, 46]",2,1
246,"[3, 47]",3,1
247,"[3, 48]",1,3
248,"[3, 49]",2,1
249,"[3, 50]",3,1
250,"[3, 51]",1,3
251,"[3, 52]",2,1
252,"[3, 53]",3,1
253,"[3, 54]",1,3
254,"[3, 55]",2,1
255,"[3, 56]",3,1
256,"[3, 57]",1,3
257,"[3, 58]",2,1
258,"[3, 59]",3,1
259,"[3, 60]",1,3
260,"[3, 61]",2,1
261,"[3, 62]",3,1
262,"[3, 63]",1,3
263,"[3, 64]",2,1
264,"[3, 65]",3,1
265,"[3, 66]",1,3
266,"[3, 67]",2,1
267,"[3, 68]",3,1
268,"[3, 69]",1,3
269,"[3, 70]",2,1
270,"[3, 71]",3,1
271,"[3, 72]",1,3
272,"[3, 73]",2,1
273,"[3, 74]",3,1
274,"[3, 75]",1,3
275,"[3, 76]",2,1
276,"[3, 77]",3,1
277,"[3, 78]",1,3
278,"[3, 79]",2,1
279,"[3, 80]",3,1
280,"[3, 81]",1,3
281,"[3, 82]",2,1
282,"[3, 83]",3,1
283,"[3, 84]",1,3
284,"[3, 85]",2,1
285,"[3, 86]",3,1
286,"[3, 87]",1,3
287,"[3, 88]",2,1
288,"[3, 89]",3,1
289,"[3, 90]",1,3
290,"[3, 91]",2,1
291,"[3, 92]",3,1
292,"[3, 93]",1,3
293,"[3, 94]",2,1
294,"[3, 95]",3,1
295,"[3, 96]",1,3
296,"[3, 97]",2,1
297,"[3, 98]",3,1
298,"[3, 99]",1,3
299,"[3, 100]",2,1
300,"[4, 1]",1,1
301,"[4, 2]",1,2
302,"[4, 3]",2,1
303,"[4, 4]",1,4
304,"[4, 5]",2,1
305,"[4, 6]",2,2
306,"[4, 7]",3,1
307,"[4, 8]",1,4
308,"[4, 9]",2,1
309,"[4, 10]",2,2
310,"[4, 11]",3,1
311,"[4, 12]",1,4
312,"[4, 13]",2,1
313,"[4, 14]",2,2
314,"[4, 15]",3,1
315,"[4, 16]",1,4
316,"[4, 17]",2,1
317,"[4, 18]",2,2
318,"[4, 19]",3,1
319,"[4, 20]",1,4
320,"[4, 21]",2,1
321,"[4, 22]",2,2
322,"[4, 23]",3,1
323,"[4, 24]",1,4
324,"[4, 25]",2,1
325,"[4, 26]",2,2
326,"[4, 27]",3,1
327,"[4, 28]",1,4
328,"[4, 29]",2,1
329,"[4, 30]",2,2
330,"[4, 31]",3,1
331,"[4, 32]",1,4
332,"[4, 33]",2,1
333,"[4, 34]",2,2
334,"[4, 35]",3,1
335,"[4, 36]",1,4
336,"[4, 37]",2,1
337,"[4, 38]",2,2
338,"[4, 39]",3,1
339,"[4, 40]",1,4
340,"[4, 41]",2,1
341,"[4, 42]",2,2
342,"[4, 43]",3,1
343,"[4, 44]",1,4
344,"[4, 45]",2,1
345,"[4, 46]",2,2
346,"[4, 47]",3,1
347,"[4, 48]",1,4
348,"[4, 49]",2,1
349,"[4, 50]",2,2
350,"[4, 51]",3,1
351,"[4, 52]",1,4
352,"[4, 53]",2,1
353,"[4, 54]",2,2
354,"[4, 55]",3,1
355,"[4, 56]",1,4
356,"[4, 57]",2,1
357,"[4, 58]",2,2
358,"[4, 59]",3,1
359,"[4, 60]",1,4
360,"[4, 61]",2,1
361,"[4, 62]",2,2
362,"[4, 63]",3,1
363,"[4, 64]",1,4
364,"[4, 65]",2,1
365,"[4, 66]",2,2
366,"[4, 67]",3,1
367,"[4, 68]",1,4
368,"[4, 69]",2,1
369,"[4, 70]",2,2
370,"[4, 71]",3,1
371,"[4, 72]",1,4
372,"[4, 73]",2,1
373,"[4, 74]",2,2
374,"[4, 75]",3,1
375,"[4, 76]",1,4
376,"[4, 77]",2,1
377,"[4, 78]",2,2
378,"[4, 79]",3,1
379,"[4, 80]",1,4
380,"[4, 81]",2,1
381,"[4, 82]",2,2
382,"[4, 83]",3,1
383,"[4, 84]",1,4
384,"[4, 85]",2,1
385,"[4, 86]",2,2
386,"[4, 87]",3,1
387,"[4, 88]",1,4
388,"[4, 89]",2,1
389,"[4, 90]",2,2
390,"[4, 91]",3,1
391,"[4, 92]",1,4
392,"[4, 93]",2,1
393,"[4, 94]",2,2
394,"[4, 95]",3,1
395,"[4, 96]",1,4
396,"[4, 97]",2,1
397,"[4, 98]",2,2
398,"[4, 99]",3,1
399,"[4, 100]",1,4
400,"[5, 1]",1,1
401,"[5, 2]",2,1
402,"[5, 3]",3,1
403,"[5, 4]",2,1
404,"[5, 5]",1,5
405,"[5, 6]",2,1
406,"[5, 7]",3,1
407,"[5, 8]",4,1
408,"[5, 9]",3,1
409,"[5, 10]",1,5
410,"[5, 11]",2,1
411,"[5, 12]",3,1
412,"[5, 13]",4,1
413,"[5, 14]",3,1
414,"[5, 15]",1,5
415,"[5, 16]",2,1
416,"[5, 17]",3,1
417,"[5, 18]",4,1
418,"[5, 19]",3,1
419,"[5, 20]",1,5
420,"[5, 21]",2,1
421,"[5, 22]",3,1
422,"[5, 23]",4,1
423,"[5, 24]",3,1
424,"[5, 25]",1,5
425,"[5, 26]",2,1
426,"[5, 27]",3,1
427,"[5, 28]",4,1
428,"[5, 29]",3,1
429,"[5, 30]",1,5
430,"[5, 31]",2,1
431,"[5, 32]",3,1
432,"[5, 33]",4,1
433,"[5, 34]",3,1
434,"[5, 35]",1,5
435,"[5, 36]",2,1
436,"[5, 37]",3,1
437,"[5, 38]",4,1
