,Complexity,Length,Steps taken,Time Taken,RSS(in GB),VMS(in GB),Core 1 Frequency,Core 2 Frequency,Core 3 Frequency,Core 4 Frequency,Core 5 Frequency,Core 6 Frequency,Core 7 Frequency,Core 8 Frequency,CPU Percentage Used
0,O(n3) Cubic,2,4,2.574920654296875e-05,3.125e-05,0.0,3512.456,1659.816,1707.356,1697.114,1254.828,1251.229,1236.024,1248.026,8.0
1,O(n3) Cubic,4,20,4.792213439941406e-05,3.125e-05,0.0,3022.462,3240.718,1684.575,1757.62,2851.077,1691.31,2834.222,1637.613,9.0
2,O(n3) Cubic,8,120,9.512901306152344e-05,0.0,0.0,3204.569,3232.84,3134.259,3200.506,3193.505,3140.353,3119.598,3103.588,9.6
3,O(n3) Cubic,16,816,0.4203298091888428,0.00021875,0.0,3129.783,3273.807,3186.323,3082.272,3127.757,3147.769,3211.752,3142.843,8.2
4,O(n3) Cubic,32,5984,0.002362489700317383,0.00290625,0.004,3236.26,3614.159,3201.981,3380.714,3224.878,3558.178,3483.281,3382.83,9.0
5,O(n3) Cubic,64,45760,0.43215036392211914,0.0225,0.022,3177.646,3569.127,3228.555,3183.519,3185.452,3276.671,3355.378,3198.743,0.2
6,O(n3) Cubic,128,357760,0.1053769588470459,0.18125,0.18009375,3968.205,3825.987,3676.26,3928.102,4000.001,3944.214,3619.006,3981.714,3.2
7,O(n3) Cubic,256,2829056,0.8214197158813477,1.3776875,1.3965625,3991.454,3927.979,3719.393,3623.021,4020.852,3501.389,3769.062,3587.453,1.6
8,O(n3) Cubic,512,22500864,7.747705459594727,10.9823125,11.01178125,3300.502,1347.04,1331.238,1368.691,1350.876,1376.063,1347.559,1363.964,5.0
9,O(n3) Cubic,1024,31143968,10.0,4.82640625,5.14896875,2200.376,1357.631,1293.883,1280.263,1281.838,1253.445,1261.234,1280.488,6.7
