,Order,Member,products,current_date,p1,p2,p3
0,8225869,M09736,"['Beans', 'Snacky Nuts', 'Banana', 'Cream Biscuits', 'Corn Snacks', 'Root Vegetables']",2456992.5,2456967.5,2456966.5,2456938.5
1,7874962,M09736,"['Other Dals', 'Toor Dal', 'Other Vegetables', 'Banana', 'Namkeen', 'Liquid Soaps & Bars', 'Whole Spices', 'Beans', 'Root Vegetables', 'Sugar']",2456967.5,2456966.5,2456938.5,2456928.5
2,7980335,M09736,"['Snacky Nuts', 'Banana', 'Other Dals', 'Urad Dal', 'Sugar Cubes', 'Root Vegetables', 'Toor Dal', 'Boiled Rice', 'Other Rice Products', 'Sugar']",2456966.5,2456938.5,2456928.5,2456922.5
3,6638454,M09736,"['Other Rice Products', 'Namkeen', 'Root Vegetables', 'Beans', 'Sugar', 'Boiled Rice', 'Banana', 'Urad Dal']",2456938.5,2456928.5,2456922.5,2456914.5
4,6486475,M09736,"['Utensil Scrub Pads', 'Other Rice Products', 'Toor Dal', 'Buns & Pavs', 'Cakes', 'Other Dals', 'Boiled Rice']",2456928.5,2456922.5,2456914.5,2456909.5
5,6468572,M09736,"['Other Sauces', 'Cashews', 'Other Dals', 'Namkeen', 'Sugar', 'Banana', 'Sugar Cubes', 'Other Sweets', 'Other Rice Products']",2456922.5,2456914.5,2456909.5,2456903.5
6,6504964,M09736,"['Urad Dal', 'Boiled Rice', 'Jaggery', 'Other Dals', 'Raisins', 'Chips', 'Almonds']",2456914.5,2456909.5,2456903.5,2456895.5
7,6549521,M09736,"['Banana', 'Cashews', 'Other Rice Products', 'Raw Peanuts', 'Sugar Cubes']",2456909.5,2456903.5,2456895.5,2456891.5
8,8156232,M09736,"['Banana', 'Sugar Cubes', 'Other Dals', 'Eggs', 'Bread', 'Beans', 'Namkeen', 'Liquid Soaps & Bars', 'Cream Biscuits', 'Urad Dal', 'Ground Coffee', 'Boiled Rice', 'Whole Spices', 'Sugar', 'Almonds', 'Raisins', 'Avalakki / Poha', 'Snacky Nuts']",2456903.5,2456895.5,2456891.5,2456886.5
9,6562518,M09736,"['Other Rice Products', 'Moong Dal', 'Mosquito Repellent', 'Boiled Rice', 'Other Dals', 'Whole Spices', 'Sugar', 'Sugar Cubes', 'Urad Dal', 'Soya Products', 'Beans', 'Other Vegetables']",2456895.5,2456891.5,2456886.5,2456871.5
10,6612806,M09736,"['Chips', 'Namkeen', 'Root Vegetables', 'Sugar', 'Ghee', 'Banana', 'Healthy Snacks']",2456891.5,2456886.5,2456871.5,2456866.5
11,6596905,M09736,"['Moong Dal', 'Namkeen', 'Beans', 'Health Drinks', 'Banana', 'Liquid Soaps & Bars', 'Sugar Cubes', 'Toor Dal', 'Washing Bars', 'Root Vegetables', 'Other Dals', 'Boiled Rice', 'Other Rice Products']",2456886.5,2456871.5,2456866.5,2456861.5
12,8215927,M09736,"['Bread', 'Urad Dal', 'Beans', 'Corn Snacks', 'Namkeen', 'Banana', 'Sugar', 'Boiled Rice', 'Snacky Nuts', 'Other Dals', 'Liquid Soaps & Bars', 'Whole Spices', 'Jaggery', 'Root Vegetables', 'Other Rice Products', 'Other Vegetables']",2456871.5,2456866.5,2456861.5,2456856.5
13,6656240,M09736,"['Raisins', 'Shoe Polish', 'Banana', 'Namkeen', 'Cashews', 'Other Vegetables', 'Beans', 'Liquid Soaps & Bars', 'Whole Spices']",2456866.5,2456861.5,2456856.5,2456851.5
