,Unnamed: 0,Si No,FG Code,Description,For Paint,Painted,Model,Connector Type,Connector Size,Type
0,0,8,023Z1501,Filter drier DCL 053FS M/24 , 023Z0970 , 023Z0971 ,5,FACE SEAL,3/8,5 FACE SEAL
1,1,1,023Z0173,Filter drier DML 085FS M/12 , 023Z1224 , 023Z1225 ,8,FACE SEAL,3/8,8 FACE SEAL
2,2,5,023Z1322,Filter drier DCL 084FS I/16 , 023Z1218 , 023Z1219 ,8,FACE SEAL,1/2,8 FACE SEAL
3,3,6,023Z1323,Filter drier DCL 083FS I/16 , 023Z1220 , 023Z1221 ,8,FACE SEAL,3/8,8 FACE SEAL
4,4,11,023Z5133,Filter drier DML 083FS M/24 , 023Z1222 , 023Z1223 ,8,FACE SEAL,3/8,8 FACE SEAL
5,5,2,023Z0219,Filter drier DCL 163 FS M/12 , 023Z1290 , 023Z1291 ,16,FACE SEAL,5/8,16 FACE SEAL
6,6,3,023Z0245,Filter drier DML 163FS M/12 , 023Z1292 , 023Z1293 ,16,FACE SEAL,3/8,16 FACE SEAL
7,7,4,023Z0246,Filter drier DML 164FS M/12 , 023Z1286 , 023Z1287 ,16,FACE SEAL,1/2,16 FACE SEAL
8,8,7,023Z1330,Filter drier DCL 165FS M/12 , 023Z1294 , 023Z1295 ,16,FACE SEAL,5/8,16 FACE SEAL
9,9,9,023Z3245,Filter drier DML 163 FS I/12 , 023Z1292 , 023Z1293 ,16,FACE SEAL,3/8,16 FACE SEAL
10,10,10,023Z3246,Filter drier DML 164FS I/12 , 023Z1884 , 023Z1885 ,16,FACE SEAL,1/2,16 FACE SEAL
11,11,12,023Z5135,Filter drier DML 165FS M/12 , 023Z1296 , 023Z1297 ,16,FACE SEAL,5/8,16 FACE SEAL
12,12,13,023Z8094,Filter drier DCL 164FS I/12 , 023Z1288 , 023Z1289 ,16,FACE SEAL,1/2,16 FACE SEAL
13,13,14,023Z8107,Filter drier DCL 163FS I/12 , 023Z1290 , 023Z1291 ,16,FACE SEAL,3/8,16 FACE SEAL
14,14,15,023Z8110,Filter drier DCL 164FS I/12 , 023Z1288 , 023Z1289 ,16,FACE SEAL,1/2,16 FACE SEAL
15,15,16,023Z4500,Filter drier DCL 032S/6mm M/32 , 023Z1852 , 023Z1853 ,3,CU-PLATED,6MM,3 CU-PLATED
16,16,17,023Z4501,Filter drier DCL 032S M/32 , 023Z0934 , 023Z0935 ,3,CU-PLATED,1/4,3 CU-PLATED
17,17,18,023Z4502,Filter drier DCL 032.5S M/32 , 023Z1582 , 023Z1583 ,3,CU-PLATED,5/16,3 CU-PLATED
