S.No.,Post office,Office type,Pincode
1,AIMS Ponekkara ,S.O,682041
2,Aimurikara ,B.O,683544
3,Airapuram ,B.O,683541
4,Airoopadam ,B.O,686692
5,Airoor ,B.O,683579
6,Alangad ,S.O,683511
7,Alattuchira ,B.O,683544
8,Allapra ,B.O,683556
9,Aluva Bazar ,S.O,683101
10,Aluva ,H.O,683101
11,Aluva Town Bus Stand ,S.O,683101
12,Aluva-asokapuram ,B.O,683101
13,Ambalamedu ,S.O,682303
14,Ambalamugal ,S.O,682302
15,Amballur ,B.O,682315
16,Anappara-kalady ,B.O,683581
17,Anchelpetty ,B.O,686667
18,Andikkadavu ,B.O,682008
19,Angamally ,S.O,683572
20,Angamally South ,S.O,683573
21,Arakunnam ,S.O,682313
22,Arakuzha ,S.O,686672
23,Aruvappara ,B.O,683545
24,Asamannoor ,S.O,683549
25,Athani ,S.O,683585
26,Avoly ,B.O,686670
27,Ayavana ,B.O,686668
28,Ayyampilly ,S.O,682501
29,Ayyampuzha ,B.O,683581
30,Azhakam ,B.O,683577
,,,
31,Azheekal ,B.O,682508
32,Bhaktanandapuram ,B.O,682308
33,Bhoothathankettu ,B.O,686681
34,Binanipuram ,S.O,683502
35,Brahmapuram ,B.O,682303
36,Changampuzha Nagar ,S.O,682033
37,Chathamattam ,B.O,686671
38,Chelad Junction ,S.O,686681
39,Chellanam ,B.O,682008
40,Chendamangalam ,S.O,683512
41,Chengamanad ,S.O,683578
42,Cherai ,S.O,683514
43,Cheranalloor(PBR) ,B.O,683544
44,Cheranallur ,S.O,682034
45,Cheruvattoor ,B.O,686691
46,Chethicode ,B.O,682315
47,Chittoor-ekm ,S.O,682027
48,Choondakuzhy ,B.O,683546
49,Chottanikkara ,S.O,682312
50,Chowara ,S.O,683571
51,Chully ,B.O,683581
52,Cochin Special Economic Zone ,S.O,682037
53,Desom ,B.O,683102
54,Edakkattuvayal ,B.O,682313
55,Edakochi ,S.O,682010
56,Edapally North ,B.O,682024
57,Edapally ,S.O,682024
58,Edathala North ,B.O,683561
59,Edathala ,S.O,683561
60,Edavanakad ,S.O,682502
61,Edavoor ,B.O,683544
62,Edayar ,B.O,686662
63,Elamakkara ,S.O,682026
64,Elamkunnapuzha ,S.O,682503
65,Elanji ,S.O,686665
66,Elanthikara ,B.O,683594
67,Elavoor ,B.O,683572
68,Enanalloor ,B.O,686673
69,Ernakulam College ,S.O,682035
70,Ernakulam ,H.O,682011
71,Ernakulam High Court ,S.O,682031
72,Ernakulam Hindi Prachar Sabha ,S.O,682016
73,Ernakulam North ,S.O,682018
74,Eroor ,S.O,682306
75,Eroor South ,B.O,682306
76,Eroor West ,B.O,682306
77,Erumathala ,S.O,683112
78,Ezhakkaranad ,B.O,682308
79,Ezhakkaranadu South ,B.O,682308
80,Ezhattumugham ,B.O,683577
81,Ezhikkara ,B.O,683513
82,Gothuruthy ,B.O,683516
83,Hmt Colony ,S.O,683503
84,Idamalayar ,B.O,686681
85,Illambakapalli ,B.O,683544
86,Inchathotty ,B.O,686681
87,Infopark-Kochi ,S.O,682042
88,Iramalloor ,B.O,686691
89,Irimbanam ,S.O,682309
90,Iringole ,B.O,683545
91,Kadakkanad ,B.O,682311
92,Kadalikkad ,B.O,686670
93,Kadamakudi ,B.O,682027
94,Kadamattam ,B.O,682311
95,Kadavanthara ,S.O,682020
96,Kadavoor ,B.O,686671
97,Kadayirippu ,B.O,682311
98,Kadungamangalam ,B.O,682305
99,Kaipatoor ,B.O,682313
100,Kaitharam ,S.O,683519
101,Kakkad ,B.O,686664
102,Kakkanad ,S.O,682030
103,Kakkanad West ,B.O,682030
104,Kakkoor ,B.O,686662
105,Kalady Plantation ,B.O,683581
106,Kalady ,S.O,683574
107,Kalamassery Development Plot ,B.O,683104
108,Kalamassery ,S.O,683104
109,Kalampoor ,B.O,686664
110,Kalloorkkad ,S.O,686668
111,Kaloor ,B.O,686668
112,Kaloor ,S.O,682017
113,Kanayannoor ,B.O,682312
114,Kandanad ,B.O,682305
115,Kaninad ,B.O,682310
116,Kanjiramattom ,S.O,682315
117,Kanjoor ,S.O,683575
118,Kannamali ,S.O,682008
119,Karamala ,B.O,686662
120,Karimpana ,B.O,686662
121,Karimugal ,B.O,682303
122,Karukadom ,B.O,686691
123,Karukappilli ,B.O,682311
124,Karukutty ,S.O,683576
125,Karumalloor ,B.O,683511
126,Kavakkad ,B.O,686668
127,Keerampara ,B.O,686681
128,Keezhillam ,S.O,683541
129,Kidangoor ,B.O,683572
130,Kinginimattom ,B.O,682311
131,Kizhakkambalam ,S.O,683562
132,Kizhakompu ,B.O,686662
133,Kizhmuri ,B.O,686663
134,Kochi Airport ,S.O,683111
135,Kochi ,H.O,682001
136,Kochi M.G.Road ,S.O,682016
137,Kochi Naval Base ,S.O,682004
138,Kochi Palace ,B.O,682301
139,Kochi University ,S.O,682022
140,Kodanad ,B.O,683544
141,Kokkappilly ,B.O,682305
142,Kolenchery ,S.O,682311
143,Kombanad ,B.O,683546
144,Kongorpilly ,B.O,683518
145,Koonammavu ,S.O,683518
146,Koothattukulam ,S.O,686662
147,Koovalloor ,B.O,686671
148,Koovappady ,S.O,683544
149,Koovappara ,B.O,686681
150,Kothad ,B.O,682027
151,Kothamangalam Bazar ,B.O,686691
152,Kothamangalam College ,S.O,686666
153,Kothamangalam ,S.O,686691
154,Kottappady ,B.O,686692
155,Kottuvally ,B.O,683519
156,Kozhipilly ,B.O,686691
157,Kulayettikara ,B.O,682315
158,Kumarapuram ,S.O,683565
159,Kumbalam ,B.O,682506
160,Kumbalangi ,S.O,682007
161,Kumbalangi South ,B.O,682007
162,Kunjithai ,B.O,683522
163,Kunnackal ,S.O,682316
164,Kunnukara ,B.O,683578
165,Kureekad ,B.O,682305
166,Kurumassery ,S.O,683579
167,Kuruppampady ,S.O,683545
168,Kusumagiri ,B.O,682030
169,Kuthiathode(EKM) ,B.O,683594
170,Kuthukuzhy ,B.O,686691
171,Kuttampuzha ,B.O,686681
172,Kuttikkattukara ,B.O,683501
173,Kuzhiyara ,B.O,682312
174,Madakkathanam ,B.O,686670
175,Malayattoor ,S.O,683587
176,Malayidumthuruth ,B.O,683561
177,Maliankara ,B.O,683516
178,Malipara ,B.O,686681
179,Malipuram ,S.O,682511
180,Mamala ,B.O,682305
181,Mamalakandom ,B.O,686681
182,Mamalassery ,B.O,686663
183,Manary ,B.O,686673
184,Manickamangalam ,B.O,683574
185,Manidu ,B.O,686664
186,Manikinar ,B.O,686693
187,Manjapra ,S.O,683581
188,Manjummel ,B.O,683501
189,Mannam Paravur ,S.O,683520
190,Mannathur ,B.O,686667
191,Maradu ,S.O,682304
192,Marady East ,B.O,686673
193,Marampally ,B.O,683105
194,Marika ,B.O,686662
195,Marithazham ,B.O,682315
196,Matsyapuri ,S.O,682029
197,Mattancherry Jetty ,S.O,682002
198,Mattancherry ,S.O,682002
199,Mattancherry Town ,S.O,682002
200,Mattoor ,B.O,683574
201,Mazhuvannoor ,B.O,686669
202,Mazhuvannoor South ,B.O,686669
203,Meempara ,B.O,682308
204,Meenkunnam ,B.O,686672
205,Mekkad ,S.O,683589
206,Mekkadambu ,B.O,682316
207,Memadangu ,B.O,686672
208,Methala ,B.O,683545
209,Mookkannur ,S.O,683577
210,Moothakunnam ,S.O,683516
211,Mudakuzha ,B.O,683546
212,Mudavoor ,S.O,686669
213,Mudikkal ,S.O,683547
214,Mulakulam ,B.O,686664
215,Mulanthuruthy ,S.O,682314
216,Mulavoor ,B.O,686673
217,Mulavukad ,S.O,682504
218,Mullapuzhachal ,B.O,686670
219,Mundamveli ,S.O,682507
220,Muppathadam ,S.O,683110
221,Mutholapuram ,B.O,686665
222,Muvattupuzha Bazar ,B.O,686673
223,Muvattupuzha ,H.O,686661
224,Muvattupuzha Market ,S.O,686673
225,Nadakkavu ,B.O,682307
226,Nadukani ,B.O,686691
227,Naduvattam ,B.O,683574
228,Nagapuzha ,B.O,686668
229,Nanthiattukunnam ,B.O,683513
230,Narakkal ,S.O,682505
