,Complexity,Length,Steps taken,Time Taken,RSS(in GB),VMS(in GB),Core 1 Frequency,Core 2 Frequency,Core 3 Frequency,Core 4 Frequency,Core 5 Frequency,Core 6 Frequency,Core 7 Frequency,Core 8 Frequency,CPU Percentage Used
0,O(log(n)) Logarithmic,2,0,2.0265579223632812e-05,3.125e-05,0.0,3555.262,1282.781,1285.573,1189.663,1100.017,1100.128,1099.885,1100.231,0.5
1,O(log(n)) Logarithmic,4,2,8.440017700195312e-05,3.125e-05,0.0,2231.531,1453.786,1752.828,2898.717,1646.065,1816.646,1634.105,1591.757,1.5
2,O(log(n)) Logarithmic,8,3,3.457069396972656e-05,0.0,0.0,3265.913,3276.174,3269.695,3294.795,3262.026,3270.735,3192.718,3152.953,2.2
3,O(log(n)) Logarithmic,16,4,3.981590270996094e-05,0.0,0.0,3335.309,3284.082,3377.704,3329.917,3199.955,3272.64,3200.08,3200.094,2.7
4,O(log(n)) Logarithmic,32,5,5.650520324707031e-05,0.0,0.0,3440.72,3339.333,3376.603,3366.847,3200.492,3283.532,3344.536,3208.311,3.2
5,O(log(n)) Logarithmic,64,6,8.0108642578125e-05,0.0,0.0,3217.137,3261.108,3269.073,3207.819,3201.516,3279.672,3202.5,3238.691,3.7
6,O(log(n)) Logarithmic,128,7,0.00012302398681640625,3.125e-05,0.0,3392.136,3319.878,3363.346,3397.015,3366.454,3380.577,3358.292,3250.372,7.4
7,O(log(n)) Logarithmic,256,8,0.00022220611572265625,3.125e-05,0.0,3308.782,3200.974,3201.105,3361.018,3199.751,3346.664,3338.226,3201.606,7.8
8,O(log(n)) Logarithmic,512,9,0.000446319580078125,6.25e-05,0.0,3302.808,3276.999,3292.973,3327.982,3295.228,3293.341,3300.526,3288.146,8.2
9,O(log(n)) Logarithmic,1024,10,0.0008523464202880859,0.000125,0.0,3330.558,3280.461,3281.074,3339.647,3201.471,3282.695,3330.53,3201.081,8.6
10,O(log(n)) Logarithmic,2048,11,0.0015630722045898438,0.00028125000000000003,0.002,3342.15,3201.214,3376.598,3380.567,3200.791,3354.179,3338.276,3200.084,9.0
11,O(log(n)) Logarithmic,4096,12,0.0030624866485595703,0.0005,0.0,3430.405,3201.977,3388.433,3396.74,3201.407,3359.548,3201.047,3199.781,9.6
12,O(log(n)) Logarithmic,8192,13,0.005940914154052734,0.00103125,0.0,3334.764,3302.307,3521.296,3460.192,3343.844,3372.897,3333.416,3452.629,0.2
13,O(log(n)) Logarithmic,16384,14,0.011889457702636719,0.00203125,0.002,3778.594,3801.371,3651.431,3283.672,3200.922,3417.558,3200.688,3455.067,0.8
14,O(log(n)) Logarithmic,32768,15,0.02362966537475586,0.0050625,0.004,3505.243,3246.124,3320.572,3588.822,3251.958,3552.491,3705.902,3611.577,1.8
15,O(log(n)) Logarithmic,65536,16,0.044304847717285156,0.014125,0.01690625,3385.174,3301.803,4037.001,3531.692,3995.278,3768.387,3700.985,3751.63,2.8
16,O(log(n)) Logarithmic,131072,17,0.08099961280822754,0.029812500000000002,0.03278125,3794.832,3890.407,3710.035,3532.636,3682.014,4025.842,3784.096,3824.252,5.0
17,O(log(n)) Logarithmic,262144,18,0.16541504859924316,0.06465625,0.06365625,3716.772,3988.817,3712.202,3782.259,3547.256,3676.085,3438.504,3696.667,5.6
18,O(log(n)) Logarithmic,524288,19,0.34181833267211914,0.13390625,0.13584375,3730.527,3784.52,3591.145,3637.224,3400.426,3737.335,3631.19,3542.726,1.6
19,O(log(n)) Logarithmic,1048576,20,0.6641891002655029,0.27568750000000003,0.27965625,3715.308,3901.002,3583.563,3573.192,3643.697,3783.347,3591.87,3695.474,1.4
20,O(log(n)) Logarithmic,2097152,21,1.3524560928344727,0.5641875000000001,0.57403125,3305.15,1408.327,1359.215,1292.748,1309.758,1341.779,1316.291,1352.226,0.1
21,O(log(n)) Logarithmic,4194304,22,2.661583423614502,1.143875,1.16546875,3251.903,1561.864,1336.552,1324.807,1324.525,1399.949,1402.066,1403.985,3.5
22,O(log(n)) Logarithmic,8388608,23,5.907783508300781,2.05565625,2.096875,3197.122,1511.496,1446.86,1354.034,1328.647,1300.238,1300.161,1300.738,9.8
23,O(log(n)) Logarithmic,16777216,24,11.409805059432983,4.129125,4.224875,3548.092,1696.246,1515.641,1539.701,1400.173,1400.485,1400.171,1400.484,3.0
24,O(log(n)) Logarithmic,33554432,25,23.39292812347412,8.276375,8.50234375,1650.861,1479.46,1442.937,1493.508,1400.311,1400.016,1400.462,1400.464,6.1
