,Complexity,Length,Steps taken,Time Taken,RSS(in GB),VMS(in GB),Core 1 Frequency,Core 2 Frequency,Core 3 Frequency,Core 4 Frequency,Core 5 Frequency,Core 6 Frequency,Core 7 Frequency,Core 8 Frequency,CPU Percentage Used
0,O(n) Linear,2,2,0.0002968311309814453,0.01740625,0.0,3747.198,4084.433,4106.488,3634.122,3867.54,3601.159,4073.455,3663.465,6.1
1,O(n) Linear,4,4,3.218650817871094e-05,6.25e-05,0.0,3870.166,3559.258,3841.904,3579.074,3935.2,3567.425,3538.744,3495.316,6.8
2,O(n) Linear,8,8,3.814697265625e-05,0.0,0.0,3692.567,3398.283,3436.508,3577.154,3676.825,3521.157,3447.329,3472.329,7.3
3,O(n) Linear,16,16,5.173683166503906e-05,0.0,0.0,3431.29,3466.905,3589.407,3484.872,3452.294,3514.493,3568.421,3602.95,7.6
4,O(n) Linear,32,32,5.054473876953125e-05,0.0,0.0,3506.969,3432.119,3469.545,3519.441,3497.395,3526.79,3522.949,3561.248,8.0
5,O(n) Linear,64,64,7.557868957519531e-05,0.0,0.0,3557.406,3497.202,3530.103,3474.407,3477.611,3540.646,3542.889,3567.654,8.6
6,O(n) Linear,128,128,0.00012230873107910156,0.0,0.0,3584.227,3522.54,3586.211,3637.471,3589.162,3649.391,3587.583,3635.77,9.1
7,O(n) Linear,256,256,0.00021791458129882812,0.0,0.0,3575.569,3576.308,3545.176,3553.568,3558.916,3557.006,3525.878,3547.373,9.5
8,O(n) Linear,512,512,0.0007932186126708984,0.0,0.0,3632.454,3658.595,3567.34,3681.505,3592.738,3640.529,3564.126,3589.368,0.0
9,O(n) Linear,1024,1024,0.0009055137634277344,0.0,0.0,3314.224,3404.556,3491.364,3295.908,3352.38,3581.611,3467.709,3406.241,0.2
10,O(n) Linear,2048,2048,0.0017728805541992188,0.0,0.0,3419.475,3381.177,3401.711,3372.276,3449.14,3439.855,3403.883,3426.451,0.7
11,O(n) Linear,4096,4096,0.003345489501953125,3.125e-05,0.0,3526.871,3526.866,3493.208,3454.145,3539.305,3618.537,3485.965,3484.944,1.1
12,O(n) Linear,8192,8192,0.006519794464111328,0.0,0.0,3661.479,3435.241,3497.244,3334.166,3690.06,3667.441,3516.183,3508.988,1.7
13,O(n) Linear,16384,16384,0.013007164001464844,0.0,0.0,3601.086,3558.871,3754.808,3522.565,3576.845,3739.297,3705.497,3599.288,2.2
14,O(n) Linear,32768,32768,0.030542373657226562,0.00103125,0.0,3820.375,3942.011,3785.478,3821.923,3821.688,3840.15,3831.188,3454.107,3.0
15,O(n) Linear,65536,65536,0.053878068923950195,0.004,0.0078125,3650.224,3509.416,3727.715,3642.994,3463.928,3752.558,3712.252,3459.063,4.2
16,O(n) Linear,131072,131072,0.11906170845031738,0.005625,0.0068125,3765.437,3961.322,3677.839,3760.802,3739.261,3828.673,3690.425,3675.164,6.2
17,O(n) Linear,262144,262144,0.21680784225463867,0.00825,0.007625,3796.778,3724.743,3694.484,3690.103,3787.561,3770.886,3671.066,3802.107,1.0
18,O(n) Linear,524288,524288,0.5195996761322021,0.01503125,0.017843750000000002,3709.984,3712.362,3656.008,3890.594,3667.958,3702.249,3665.058,3807.808,8.0
19,O(n) Linear,1048576,1048576,0.9305830001831055,0.03003125,0.0336875,3168.611,3916.985,3708.437,3941.903,3821.678,3937.431,3375.443,3305.684,1.1
20,O(n) Linear,2097152,2097152,1.9379909038543701,0.06075,0.07,3455.164,3687.602,3675.062,3690.506,3543.301,3689.423,3577.366,3700.001,9.9
21,O(n) Linear,4194304,4194304,3.6999130249023438,0.12309375,0.1455,2776.173,1286.05,1157.495,1241.058,1186.333,1140.769,1189.049,1296.016,6.0
22,O(n) Linear,8388608,8388608,8.231360912322998,3.125e-05,0.040875,1185.936,1086.124,1070.526,1078.592,1072.589,1081.056,1085.672,1089.776,5.5
23,O(n) Linear,16777216,16777216,17.038572311401367,3.125e-05,0.096875,1815.004,1052.876,1031.756,1025.912,1023.105,1059.343,1154.383,1055.449,9.9
24,O(n) Linear,33554432,33554432,37.87464451789856,0.0,0.22434375,3061.718,1421.215,1264.388,1248.357,1213.221,1221.774,1200.052,1200.085,5.0
