Id,Probability
1,0.15277144
2,0.4175201
3,0.16812119
4,0.38617232
5,0.3059555
6,0.11090815
7,0.12866926
8,0.16734773
9,0.18920109
10,0.89406633
11,0.20811644
12,0.17111084
13,0.11700836
14,0.5723838
15,0.20438105
16,0.22279629
17,0.14515236
18,0.21191579
19,0.7002139
20,0.40207514
21,0.13329387
22,0.10576004
23,0.0715079
24,0.8415551
25,0.2802735
26,0.17626888
27,0.41777676
28,0.07609931
29,0.17925182
30,0.34934354
31,0.23401967
32,0.10351208
33,0.19693026
34,0.18273821
35,0.7850034
36,0.24340126
37,0.36177868
38,0.13425493
39,0.2027204
40,0.497783
41,0.83686984
42,0.6019559
43,0.2678141
44,0.07963744
45,0.3371094
46,0.050257206
47,0.03870496
48,0.18684506
49,0.31395274
50,0.15014082
51,0.22375026
52,0.06873533
53,0.11227009
54,0.17256936
55,0.328529
56,0.40593198
57,0.084050894
58,0.5064379
59,0.31863657
60,0.49573696
61,0.12874874
62,0.10422832
63,0.18087834
64,0.07999337
65,0.2768873
66,0.096592784
67,0.12788728
68,0.2992437
69,0.081783086
70,0.90163314
71,0.14885518
72,0.17222583
73,0.057584405
74,0.37308407
75,0.17821279
76,0.07660782
77,0.21400702
78,0.35499096
79,0.17556259
80,0.35428154
81,0.19834378
82,0.1026696
83,0.41783637
84,0.051929235
85,0.16046447
86,0.18804339
87,0.2053501
88,0.089848906
89,0.36767915
90,0.38327235
91,0.38002497
92,0.23062435
93,0.13435784
94,0.1902687
95,0.0555304
96,0.8224968
97,0.16262966
98,0.24846372
99,0.18353382
100,0.26303947
101,0.17530036
102,0.21631685
103,0.07146272
104,0.17938897
105,0.5089421
106,0.17782632
107,0.8719003
108,0.09615332
109,0.12178266
110,0.17384416
111,0.42219925
112,0.43111584
113,0.35284668
114,0.8544643
115,0.18523759
116,0.08580232
117,0.079975784
118,0.18403304
119,0.17691049
120,0.13345277
121,0.08628705
122,0.2863606
123,0.23369154
124,0.9499202
125,0.1917232
126,0.28810748
127,0.034716964
128,0.21206918
129,0.1334041
130,0.37983167
131,0.29006064
132,0.20608518
133,0.08492148
134,0.44724718
135,0.6612159
136,0.05996713
137,0.19914293
138,0.19906566
139,0.09506109
140,0.19551197
141,0.06675854
142,0.12858593
143,0.048908472
144,0.19889396
145,0.7385854
146,0.16846535
147,0.069135904
148,0.63652986
149,0.1005227
150,0.14471456
151,0.09305838
152,0.334489
153,0.13367233
154,0.11287296
155,0.2778362
156,0.29296347
157,0.3513506
158,0.08362031
159,0.1893774
160,0.23983756
161,0.06709933
162,0.10022041
163,0.11221555
164,0.40863883
165,0.15815845
166,0.16663435
167,0.9402327
168,0.34045067
169,0.7124493
170,0.08799344
171,0.06186655
172,0.2193783
173,0.30247924
174,0.15747058
175,0.16838285
176,0.44823447
177,0.19082114
178,0.30891788
179,0.11687824
180,0.07057342
181,0.45430508
182,0.14350715
183,0.14071497
184,0.0885402
185,0.2423257
186,0.109271824
187,0.12559772
188,0.17229852
189,0.07181752
190,0.24679622
191,0.13094884
192,0.15437737
193,0.15015882
194,0.10801661
195,0.18342319
196,0.2080634
197,0.08230439
198,0.0971424
199,0.17100313
200,0.0862011
201,0.18469608
202,0.09609532
203,0.86917007
204,0.06394306
205,0.41834915
206,0.06886712
207,0.33148274
208,0.17609254
209,0.2800188
210,0.048390955
211,0.34539264
212,0.16156498
213,0.19321126
214,0.30347258
215,0.1319328
216,0.15839264
217,0.06411064
218,0.36629975
219,0.0918785
220,0.05910921
221,0.25367874
222,0.1467264
223,0.13112995
224,0.13923413
225,0.14771247
226,0.26939678
227,0.18503767
228,0.1440557
229,0.19688171
230,0.87933815
231,0.64066374
232,0.08187783
233,0.095597684
234,0.089913905
235,0.11616072
236,0.8121255
237,0.06753805
238,0.04827699
239,0.18678406
240,0.17029426
241,0.26408303
242,0.107752085
243,0.10852587
244,0.07121739
245,0.17688817
246,0.07933763
247,0.34545517
248,0.104769856
249,0.2869355
250,0.74912345
251,0.089935124
252,0.7392461
253,0.07239509
254,0.39277565
255,0.022533566
256,0.081724614
257,0.3307724
258,0.6522528
259,0.12114036
260,0.41892022
261,0.27337533
262,0.24388501
263,0.053736895
264,0.28850722
265,0.20402372
266,0.24124646
267,0.49668896
268,0.30570847
269,0.7561785
270,0.07282397
271,0.08354929
272,0.5386868
273,0.12956232
274,0.23331356
275,0.10950765
276,0.15283519
277,0.071478546
278,0.21732125
279,0.1440908
280,0.153682
281,0.9114268
282,0.17913222
283,0.37194896
284,0.09654343
285,0.17602047
286,0.13843805
287,0.20558968
288,0.38933015
289,0.14973745
290,0.14470083
291,0.713387
292,0.030493438
293,0.33995908
294,0.15260601
295,0.03843987
296,0.38165158
297,0.122630775
298,0.13731915
299,0.06692967
300,0.069376916
301,0.3882035
302,0.12214145
303,0.07059583
304,0.11487439
305,0.8755257
306,0.3022961
307,0.019759655
308,0.89397395
309,0.74823165
310,0.20503297
311,0.8571676
312,0.35771623
313,0.74848115
314,0.11985579
315,0.27565017
316,0.1803168
317,0.89722586
318,0.08645898
319,0.21857643
320,0.22357926
321,0.258183
322,0.19272959
323,0.22475228
324,0.20341724
325,0.2519204
326,0.07961011
327,0.0785768
328,0.080625504
329,0.34928432
330,0.11134902
331,0.26585972
332,0.17421183
333,0.18616953
334,0.084454805
335,0.14217183
336,0.17302912
337,0.16238585
338,0.7232059
339,0.56203634
340,0.16903743
341,0.06019643
342,0.11322063
343,0.16474721
344,0.17479238
345,0.06533632
346,0.18949878
347,0.8584634
348,0.8054118
349,0.1475018
350,0.14380783
351,0.3023277
352,0.5746895
353,0.045948923
354,0.26095718
355,0.1645388
356,0.08605474
357,0.90507627
358,0.05730486
359,0.18841586
360,0.6863415
361,0.2723527
362,0.15834844
363,0.077165544
364,0.25832438
365,0.54099226
366,0.33347386
367,0.1407789
368,0.19046465
369,0.088256925
370,0.7843156
371,0.13811168
372,0.44148508
373,0.13775104
374,0.21041307
375,0.096805274
376,0.027676493
377,0.47939324
378,0.061285406
379,0.150127
380,0.24669752
381,0.15137848
382,0.13769639
383,0.0843707
384,0.6396618
385,0.065726936
386,0.22177392
387,0.06355783
388,0.24900839
389,0.077786505
390,0.11465263
391,0.06447819
392,0.092868656
393,0.07929948
394,0.40291077
395,0.033996224
396,0.052722454
397,0.06438884
398,0.24331558
399,0.066728085
400,0.116285056
401,0.09585917
402,0.08529553
403,0.15958545
404,0.081309974
405,0.91438377
406,0.92737794
407,0.2009348
408,0.5881642
409,0.277914
410,0.16788411
411,0.23055837
412,0.18710816
413,0.3181216
414,0.20940664
415,0.1338948
416,0.85723233
417,0.23307684
418,0.16704726
419,0.13815972
420,0.28922105
421,0.12082723
422,0.14806864
423,0.27588147
424,0.051775634
425,0.12686592
426,0.045283735
427,0.26780555
428,0.103545725
429,0.2178478
430,0.12785906
431,0.7517381
432,0.080177754
433,0.16780776
434,0.20860386
435,0.1418888
436,0.33477592
437,0.27856302
438,0.3833359
439,0.16845658
440,0.4178229
441,0.46497574
442,0.24886748
443,0.5030382
444,0.021301419
445,0.39861774
446,0.67415774
447,0.08418059
448,0.3105102
449,0.43678817
450,0.076966494
451,0.2576533
452,0.070726305
453,0.50194794
454,0.67716885
455,0.14429042
456,0.4254203
457,0.10916543
458,0.2370154
459,0.16208237
460,0.15280664
461,0.17963731
462,0.19856685
463,0.15319127
464,0.16082454
465,0.3391232
466,0.06877759
467,0.09831622
468,0.27392232
469,0.064136714
470,0.7042407
471,0.039966732
472,0.116794795
473,0.8031719
474,0.16941142
475,0.3437931
476,0.07671085
477,0.07727209
478,0.10583347
479,0.06936371
480,0.06076327
481,0.31636918
482,0.018390805
483,0.11277714
484,0.22973633
485,0.0698525
486,0.46977934
487,0.036309153
488,0.19414517
489,0.900137
490,0.0283418
491,0.11009738
492,0.31478894
493,0.8208728
494,0.38526106
495,0.82102853
496,0.18712226
497,0.10621804
