,Unnamed: 0,FG code ,Model,connector type,connector SIZE
0,0,023Z1501,5,FACE SEAL,3/8
1,1,023Z0173,8,FACE SEAL,3/8
2,2,023Z1322,8,FACE SEAL,1/2
3,3,023Z1323,8,FACE SEAL,3/8
4,4,023Z5133,8,FACE SEAL,3/8
5,5,023Z0219,16,FACE SEAL,5/8
6,6,023Z0245,16,FACE SEAL,3/8
7,7,023Z0246,16,FACE SEAL,1/2
8,8,023Z1330,16,FACE SEAL,5/8
9,9,023Z3245,16,FACE SEAL,3/8
10,10,023Z3246,16,FACE SEAL,1/2
11,11,023Z5135,16,FACE SEAL,5/8
12,12,023Z8094,16,FACE SEAL,1/2
13,13,023Z8107,16,FACE SEAL,3/8
14,14,023Z8110,16,FACE SEAL,1/2
15,15,023Z4500,3,CU-PLATED,6
16,16,023Z4501,3,CU-PLATED,1/4
17,17,023Z4502,3,CU-PLATED,5/16
18,18,023Z4503,3,CU-PLATED,10
19,19,023Z4504,3,CU-PLATED,3/8
20,20,023Z4505,5,CU-PLATED,6
21,21,023Z4506,5,CU-PLATED,1/4
22,22,023Z4507,5,CU-PLATED,5/16
23,23,023Z4508,5,CU-PLATED,10
24,24,023Z4509,5,CU-PLATED,3/8
25,25,023Z4510,8,CU-PLATED,6
26,26,023Z4511,8,CU-PLATED,1/4
27,27,023Z4512,8,CU-PLATED,5/16
28,28,023Z4513,8,CU-PLATED,10
29,29,023Z4514,8,CU-PLATED,3/8
30,30,023Z4515,8,CU-PLATED,12
31,31,023Z4516,8,CU-PLATED,1/2
32,32,023Z4517,16,CU-PLATED,6
33,33,023Z4518,16,CU-PLATED,1/4
34,34,023Z4519,16,CU-PLATED,10
35,35,023Z4521,16,CU-PLATED,3/8
36,36,023Z4522,16,CU-PLATED,12
37,37,023Z4523,16,CU-PLATED,1/2
38,38,023Z4524,16,CU-PLATED,5/8
39,39,023Z4525,16,CU-PLATED,3/4
40,40,023Z4526,16,CU-PLATED,7/8
41,41,023Z4551,3,CU-PLATED,6
42,42,023Z4552,3,CU-PLATED,1/4
43,43,023Z4553,3,CU-PLATED,5/16
44,44,023Z4554,3,CU-PLATED,10
45,45,023Z4555,3,CU-PLATED,3/8
46,46,023Z4556,3,CU-PLATED,1/2
47,47,023Z4557,3,CU-PLATED,12
48,48,023Z4558,5,CU-PLATED,6
49,49,023Z4559,5,CU-PLATED,1/4
50,50,023Z4560,5,CU-PLATED,5/16
51,51,023Z4561,5,CU-PLATED,10
52,52,023Z4562,5,CU-PLATED,3/8
53,53,023Z4563,5,CU-PLATED,12
54,54,023Z4564,5,CU-PLATED,1/2
55,55,023Z4565,5,CU-PLATED,5/8
56,56,023Z4566,8,CU-PLATED,6
57,57,023Z4567,8,CU-PLATED,1/4
58,58,023Z4569,8,CU-PLATED,10
59,59,023Z4570,8,CU-PLATED,3/8
60,60,023Z4571,8,CU-PLATED,12
61,61,023Z4572,8,CU-PLATED,1/2
62,62,023Z4573,8,CU-PLATED,5/8
63,63,023Z4574,16,CU-PLATED,6
64,64,023Z4575,16,CU-PLATED,1/4
65,65,023Z4577,16,CU-PLATED,10
66,66,023Z4578,16,CU-PLATED,3/8
67,67,023Z4579,16,CU-PLATED,1/2
68,68,023Z4580,16,CU-PLATED,1/2
69,69,023Z4581,16,CU-PLATED,5/8
70,70,023Z4582,16,CU-PLATED,3/4/19mm
71,71,023Z4583,16,CU-PLATED,7/8
72,72,023Z4800,3,CU-PLATED,6
73,73,023Z4801,3,CU-PLATED,1/4
74,74,023Z4803,3,CU-PLATED,5/16
75,75,023Z4804,5,CU-PLATED,6
76,76,023Z4805,5,CU-PLATED,1/2
77,77,023Z4807,5,CU-PLATED,3/8
78,78,023Z4811,8,CU-PLATED,3/8
79,79,023Z4813,8,CU-PLATED,1/2
80,80,023Z4815,16,CU-PLATED,1/2
81,81,023Z4816,16,CU-PLATED,1/2
82,82,023Z4821,3,CU-PLATED,6
83,83,023Z4822,3,CU-PLATED,1/4
84,84,023Z4823,3,CU-PLATED,5/16
85,85,023Z4825,3,CU-PLATED,3/8
86,86,023Z4826,5,CU-PLATED,6
87,87,023Z4827,5,CU-PLATED,10
88,88,023Z4828,5,CU-PLATED,3/8
89,89,023Z4829,8,CU-PLATED,1/2
90,90,023Z4830,16,CU-PLATED,1/2
91,91,023Z4832,16,CU-PLATED,3/4
92,92,023Z4835,8,CU-PLATED,3/8
93,93,023Z4838,5,CU-PLATED,5/8
94,94,023Z4842,16,CU-PLATED,10
95,95,023Z4843,16,CU-PLATED,12
